procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,lead_time_days,delivery_date_key,quality_score,po_number,total_cost
1,1618,18,7,1657,607.4719402164937,47,1750,91.92989879771896, 2a97d1a4-73e7-4e25-ae94-0315f82f5b2e,1006581.0049387302
2,1985,1,4,2322,1131.0828326958151,18,1613,97.28417280607168, 8d3366e8-f849-4bc4-af06-ad66c212f144,2626374.3375196825
3,1583,15,6,2432,1358.6904962616934,15,1574,97.44243619831956, 7ad127dc-126d-47ad-b238-2cd4bfc4835b,3304335.2869084384
4,1900,1,9,404,460.8601722263787,39,607,79.03352854745104, 918d9951-11e9-4aa0-9b20-527851875bda,186187.509579457
5,2035,17,5,3022,1402.8528553466035,55,943,74.75604643469558, 411e4225-6478-4945-8e95-8ee64f85dc40,4239421.328857437
6,1696,7,3,892,1990.9635923468115,26,1165,83.01479089660737, 0083e0f8-a270-49d8-806b-51de46c154c1,1775939.5243733558
7,552,16,6,506,1522.3096943918465,38,572,72.51642310485231, 3238179b-5c65-46cc-9ff8-d0bed8f5cb37,770288.7053622743
8,726,2,4,4527,355.8351387274285,36,977,71.31908675064935, 722de41e-b0c6-4688-871c-6c30bcea350e,1610865.6730190688
9,1178,15,9,2452,1271.0538941486138,23,960,99.34344237108245, 59b5e114-4b49-4d56-8f28-575bc6832a59,3116624.148452401
10,166,20,2,2137,28.87469248720572,57,1476,99.154729954812, f313537e-e422-4420-8c80-e8fd13ce08df,61705.217845158615
11,784,11,10,3066,944.7391390589148,48,1934,80.5534143644952, ea40f24a-a0a5-4462-a2af-9bb611ce6bb1,2896570.2003546325
12,1560,2,5,2816,1071.2796676252735,8,887,94.61573118565366, a782b157-5af7-4751-b09e-d4c3732341bf,3016723.54403277
13,401,11,9,2920,1945.031330452157,12,694,76.70276902976286, 47ab339e-3c59-4525-9e0b-d124c18b1de9,5679491.484920298
14,115,16,10,4746,1477.0387070571376,11,181,82.51876984148278, 68f05c5d-f506-49d3-a4ce-d4283f9b37ab,7010025.703693175
15,351,2,7,3142,1414.860901374382,15,1189,91.79349993094172, d3012dbe-70d4-4979-8dc9-f967219e4b95,4445492.952118308
16,876,19,5,4102,1069.485171958166,36,1513,86.51628586715029, e3276bd9-a63b-4f2e-b682-95e04340d32a,4387028.175372397
17,1250,16,8,1460,1031.2202682755783,47,298,94.63354489107012, 7a20bb42-13f1-438a-9154-d4bc99f3da69,1505581.5916823442
18,614,8,2,1153,1984.2447346752656,50,1190,99.4011705378939, e4019107-26b4-4ab4-acbc-4b95243436ab,2287834.1790805813
